diarist_id,fishing_effort,species,number_fish_caught
D023,11,Species_E,4
D024,11,Species_E,4
D025,14,Species_E,5
D026,10,Species_E,5
D027,19,Species_E,16
D028,19,Species_E,7
D029,19,Species_E,12
D030,18,Species_E,7
D031,18,Species_E,3
D032,15,Species_E,8
D033,14,Species_E,12
D034,14,Species_E,8
D035,13,Species_E,4
D036,19,Species_E,6
D037,15,Species_E,5
D038,20,Species_E,14
D039,12,Species_E,2
D040,14,Species_E,4
D041,14,Species_E,7
D042,19,Species_E,12
D043,15,Species_E,6
D044,16,Species_E,5
D045,15,Species_E,8
D046,15,Species_E,7
D047,21,Species_E,12
D048,15,Species_E,6
D049,21,Species_E,12
D050,10,Species_E,4
